user input,qwen0.8B,qwen2B,qwen9B,gpt-4.1-mini
"I just got back home from the gym and it's already around 7:30 pm, I'm really hungry but also tired, can you suggest something quick for dinner that's high in protein? ","dinner meal, dinner ready, high protein, quick, post-gym, energy recovery, healthy protein","dinner, high protein, quick, healthy","dinner, quick, high protein","dinner, quick, high protein, easy, post-gym"
"It's been a long day at work and I don't have the energy to cook anything complicated, I just want a simple and comforting vegetarian dinner that doesn't take too long ",vegetarian dinner time required short meal dish complex difficulty,vegetarian dinner quick easy,"dinner, quick, easy, vegetarian, simple","dinner, vegetarian, simple, comforting, quick, easy"
"I woke up late today and don't have much time before work, can you suggest a quick vegetarian breakfast that is light but still keeps me full? ",quick vegetarian lunch light protein high protein,vegetarian quick vegetarian breakfast light full meal type quick high protein vegetarian full course,"breakfast, quick, vegetarian, light, keeps me full","breakfast, quick, vegetarian, light, filling, easy"
"I skipped lunch and now I'm starving in the evening, can you suggest something filling but not too heavy for dinner? ","dinner, light, low-fat, full course",dinner meal hungry filling light quick healthy easy vegetarian,"dinner, filling, light","dinner, filling, light, easy, quick"
"I just came back from a walk and want to eat something light but satisfying, maybe something easy to digest for dinner",light meal easy digestion dinner suitable,light dinner healthy low calorie easy digest,"dinner, light, easy to digest, satisfying, post walk","dinner, light, easy to digest, satisfying, easy"
"I'm trying to eat healthier these days, can you suggest a vegetarian dinner that is low in calories but still nutritious and filling? ","vegetarian dinner, low calories, nutritious, high protein, fillers",low calorie vegetarian dinner,vegetarian dinner healthy meal low calorie nutritious,"vegetarian, dinner, low calorie, nutritious, filling, healthy, easy"
"I've been working out regularly and want to increase my protein intake, can you suggest a vegetarian meal that is high in protein and suitable for dinner? ","vegetarian meal, dietary constraint, lunch, healthy, easy",[high protein] [dinner] [vegetarian] [meal],high protein vegetarian dinner meal,"dinner, vegetarian, high protein, meal"
"I want something light for dinner because I ate a heavy lunch, maybe something low fat and easy to digest ",light meal high protein dairy free onion simple dish fast digest,"light, dinner, low-fat, easy-to-digest","dinner, light, low fat, easy to digest, no heavy meal","dinner, light, low fat, easy to digest, healthy, easy"
"I am trying to lose weight, can you suggest a simple vegetarian meal that is low calorie but still tastes good? ","simple meal, vegetable-based, high protein, light calorie, tasty taste, easy, vegetarian",lose weight vegetarian low calorie simple dinner,"dietary constraint no meat, cuisine vegetarian, nutrition low calorie, dish type unspecified, difficulty easy, goal weight loss","vegetarian, low calorie, weight loss, simple, healthy, easy, meal"
"I want to eat something clean and healthy tonight, nothing too oily or heavy, just a balanced vegetarian meal",vegetarian meal quick dinner,clean meal quick dinner healthy vegetarian easy,vegetarian dinner healthy light balanced clean,"dinner, vegetarian, healthy, low oil, balanced, light, easy"
"I only have about 10-15 minutes to cook before my next meeting, can you suggest a quick vegetarian meal that is easy to prepare? ",quick vegetarian meal dish type lunch cuisine,quick vegetarian dinner,quick vegetarian snack easy,"quick, vegetarian, easy, meal, 10-15 minutes, lunch, simple"
"I don't have much time and I'm not in the mood for complicated cooking, can you give me something very simple and fast to make? ",time quick simple easy complex cooking meal ingredients vegetables fruit,fast easy dinner,"fast, easy, no-ego","quick, easy, simple, fast, snack"
I need a quick snack that I can prepare in under 10 minutes with minimal ingredients ,snack meal preparation low time ingredient list no vegetables,"quick, snack, under 10 minutes, minimal ingredients","quick snack, under 10 minutes, minimal ingredients","snack, quick, under 10 minutes, minimal ingredients, easy"
I'm in a hurry and need a fast dinner option that doesn't require a lot of prep work ,"fast, prepped food",fast dinner vegan high protein quick no onions easy meal time required low prepping,"dinner, quick, low prep","dinner, quick, easy, low prep, fast"
I want something super quick and easy because I don't feel like spending too much time in the kitchen today ,"quick, kitchen-free, convenience-focused","quick, easy, lunch","quick, easy, low time, no complex prep, simple meal, fast cooking, minimal effort","quick, easy, snack, low effort, fast preparation"
"I don't eat eggs at all, can you suggest a vegetarian breakfast option that is quick and still filling? ",vegetarian breakfast; quick meal; filling; vegetarian options,"vegetarian meal, quick breakfast, filling, vegetarian, no eggs","breakfast, vegetarian, no eggs, quick, filling","vegetarian, breakfast, no eggs, quick, filling, easy"
"I am avoiding dairy products, can you suggest a vegetarian dinner that doesn't include milk, cheese, or butter? ",vegan meal no-dairy dish lunch no-butter,"vegetarian, no dairy, dinner, quick, simple recipe","no dairy, vegetarian, dinner","dinner, vegetarian, no dairy, no milk, no cheese, no butter, easy"
